venda_id,cliente_id,produto_id,quantidade,valor_unitario,data_venda,status_entrega
10001,1011.0,2,5,120.0,2026-02-01,Entregue
10002,1044.0,4,1,1200.0,2026-02-02,Entregue
10003,1001.0,1,1,-3500.0,2026-02-05,Entregue
10004,1029.0,3,2,250.0,2026-02-06,Entregue
10005,,5,1,300.0,2026-02-09,Entregue
10006,1018.0,1,2,3500.0,2026-02-12,Entregue
10007,1007.0,2,1,120.0,2026-02-15,Entregue
10008,1040.0,3,3,250.0,2026-02-18,Entregue
10009,1015.0,4,1,1200.0,2026-02-20,Entregue
10010,1022.0,5,2,300.0,2026-02-22,Entregue
10011,1031.0,2,1,120.0,2026-02-25,Entregue
10012,1004.0,1,1,3500.0,2026-02-28,Entregue
10002,1044.0,4,1,1200.0,2026-02-02,Entregue
