venda_id,cliente_id,produto_id,quantidade,valor_unitario,data_venda,arquivo_origem,forma_pagamento
1,1002,4,1,120.0,2026-04-02,vendas_abr.csv,
2,1003,2,2,450.0,2026-04-15,vendas_abr.csv,
3,1005,1,1,3200.0,2026-04-18,vendas_abr.csv,
4,1001,5,3,150.0,2026-04-22,vendas_abr.csv,
5,1004,3,2,80.0,2026-04-27,vendas_abr.csv,
6,1002,2,1,450.0,2026-04-29,vendas_abr.csv,
1,1003,2,3,150.0,2026-02-02,vendas_fev.csv,
2,1005,5,1,450.0,2026-02-11,vendas_fev.csv,
3,1001,3,4,80.0,2026-02-14,vendas_fev.csv,
4,1002,1,2,3200.0,2026-02-20,vendas_fev.csv,
5,1004,4,1,1150.0,2026-02-25,vendas_fev.csv,
1,1001,1,1,3500.0,2026-01-05,vendas_jan.csv,
2,1002,2,2,120.0,2026-01-07,vendas_jan.csv,
3,1004,4,1,1200.0,2026-01-08,vendas_jan.csv,
4,1001,5,1,300.0,2026-01-10,vendas_jan.csv,
5,1005,3,2,250.0,2026-01-15,vendas_jan.csv,
1,1004,5,2,150.0,2026-07-02,vendas_jul.csv,
2,1002,3,1,650.0,2026-07-08,vendas_jul.csv,
3,1001,2,5,450.0,2026-07-12,vendas_jul.csv,
4,1005,4,1,1150.0,2026-07-17,vendas_jul.csv,
5,1003,1,2,3200.0,2026-07-22,vendas_jul.csv,
6,1004,3,3,80.0,2026-07-29,vendas_jul.csv,
1,1003,2,5,300.0,2026-06-04,vendas_jun.csv,
2,1001,4,1,1200.0,2026-06-09,vendas_jun.csv,
3,1002,1,3,150.0,2026-06-15,vendas_jun.csv,
4,1005,3,2,80.0,2026-06-19,vendas_jun.csv,
5,1004,5,1,450.0,2026-06-24,vendas_jun.csv,
6,1002,2,4,1150.0,2026-06-28,vendas_jun.csv,
1,1005,3,1,850.0,2026-05-10,vendas_mai.csv,Cartão
2,1001,1,2,90.0,2026-05-14,vendas_mai.csv,Pix
3,1003,5,1,1150.0,2026-05-19,vendas_mai.csv,Boleto
4,1002,2,4,450.0,2026-05-22,vendas_mai.csv,Pix
5,1004,4,1,120.0,2026-05-25,vendas_mai.csv,Cartão
6,1005,1,2,3200.0,2026-05-28,vendas_mai.csv,Transferência
